IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.97.90,8443,TRUE,SIN,Asia Pacific,Singapore,286 ms,2994 kB/s
47.236.165.25,2083,TRUE,SIN,Asia Pacific,Singapore,316 ms,2985 kB/s
47.237.86.185,2053,TRUE,SIN,Asia Pacific,Singapore,304 ms,2975 kB/s
47.236.171.205,2083,TRUE,SIN,Asia Pacific,Singapore,280 ms,2972 kB/s
47.237.94.140,2096,TRUE,SIN,Asia Pacific,Singapore,283 ms,2901 kB/s
47.236.130.95,2087,TRUE,SIN,Asia Pacific,Singapore,278 ms,2834 kB/s
47.236.10.182,2083,TRUE,SIN,Asia Pacific,Singapore,280 ms,2818 kB/s
47.236.167.231,8443,TRUE,SIN,Asia Pacific,Singapore,297 ms,2815 kB/s
47.238.41.59,80,TRUE,SIN,Asia Pacific,Singapore,59 ms,2791 kB/s
47.236.167.231,2053,TRUE,SIN,Asia Pacific,Singapore,302 ms,2738 kB/s
47.236.169.164,2083,TRUE,SIN,Asia Pacific,Singapore,296 ms,2678 kB/s
47.236.202.91,2083,TRUE,SIN,Asia Pacific,Singapore,301 ms,2636 kB/s
47.236.10.182,2096,TRUE,SIN,Asia Pacific,Singapore,288 ms,2595 kB/s
47.238.36.250,80,TRUE,KUL,Asia Pacific,Kuala Lumpur,64 ms,2548 kB/s
47.236.170.54,2096,TRUE,SIN,Asia Pacific,Singapore,280 ms,2453 kB/s
47.236.180.51,2087,TRUE,SIN,Asia Pacific,Singapore,281 ms,2418 kB/s
47.236.125.62,2087,TRUE,NRT,Asia Pacific,Tokyo,358 ms,2384 kB/s
47.236.167.231,2083,TRUE,SIN,Asia Pacific,Singapore,278 ms,2364 kB/s
47.236.171.205,2096,TRUE,SIN,Asia Pacific,Singapore,295 ms,2220 kB/s
47.236.10.182,2087,TRUE,SIN,Asia Pacific,Singapore,280 ms,2188 kB/s
47.236.166.131,2053,TRUE,SIN,Asia Pacific,Singapore,307 ms,2182 kB/s
47.236.164.215,2083,TRUE,SIN,Asia Pacific,Singapore,281 ms,2117 kB/s
47.236.170.225,2096,TRUE,SIN,Asia Pacific,Singapore,297 ms,2079 kB/s
47.236.180.51,2083,TRUE,SIN,Asia Pacific,Singapore,299 ms,2076 kB/s
47.236.170.225,2083,TRUE,SIN,Asia Pacific,Singapore,277 ms,2028 kB/s
47.236.180.51,2053,TRUE,SIN,Asia Pacific,Singapore,318 ms,2012 kB/s
47.236.180.51,2096,TRUE,SIN,Asia Pacific,Singapore,287 ms,1996 kB/s
47.236.125.62,2096,TRUE,NRT,Asia Pacific,Tokyo,382 ms,1836 kB/s
47.237.95.140,2087,TRUE,SIN,Asia Pacific,Singapore,294 ms,1711 kB/s
47.236.10.182,2053,TRUE,SIN,Asia Pacific,Singapore,291 ms,1603 kB/s
47.236.170.225,2053,TRUE,SIN,Asia Pacific,Singapore,281 ms,1590 kB/s
47.236.63.152,443,TRUE,SIN,Asia Pacific,Singapore,289 ms,1452 kB/s
47.76.218.163,443,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,1055 kB/s
